Date;Cap_Mercado
Jun 07, 2019;8631929731
Jun 06, 2019;8398895354
Jun 05, 2019;8339664941
Jun 04, 2019;8309409008
Jun 03, 2019;9023463477
Jun 02, 2019;9826610388
Jun 01, 2019;9211550924
May 31, 2019;9222504015
May 30, 2019;8709595294
May 29, 2019;9484027811
May 28, 2019;9730814688
May 27, 2019;9560354375
May 26, 2019;8970116957
May 25, 2019;8396084108
May 24, 2019;8474661283
May 23, 2019;8452742577
May 22, 2019;8163966113
May 21, 2019;8988319808
May 20, 2019;9013496034
May 19, 2019;9245269911
May 18, 2019;8406531393
May 17, 2019;8737883532
May 16, 2019;9146484833
May 15, 2019;9686698496
May 14, 2019;8751498457
May 13, 2019;7497408052
May 12, 2019;7192612528
May 11, 2019;7714448903
May 10, 2019;6491129047
May 09, 2019;6282440310
May 08, 2019;6651661757
May 07, 2019;6590091859
May 06, 2019;6818135954
May 05, 2019;6756157382
May 04, 2019;6831119157
May 03, 2019;7187990378
May 02, 2019;6972266879
May 01, 2019;7035511796
Apr 30, 2019;7196566530
Apr 29, 2019;6586477365
Apr 28, 2019;6984345916
Apr 27, 2019;7152654741
Apr 26, 2019;7097633304
Apr 25, 2019;7165167300
Apr 24, 2019;7382982821
Apr 23, 2019;7604089890
Apr 22, 2019;7946260874
Apr 21, 2019;7562478863
Apr 20, 2019;7807392854
Apr 19, 2019;8096019299
Apr 18, 2019;8350648383
Apr 17, 2019;8411273228
Apr 16, 2019;8411006556
Apr 15, 2019;8285021756
Apr 14, 2019;8522206767
Apr 13, 2019;8427108288
Apr 12, 2019;8345967798
Apr 11, 2019;8270079691
Apr 10, 2019;8979632310
Apr 09, 2019;8359120781
Apr 08, 2019;8737649147
Apr 07, 2019;9091910964
Apr 06, 2019;9072282841
Apr 05, 2019;9127677682
Apr 04, 2019;8766445156
Apr 03, 2019;9058302042
Apr 02, 2019;8535807056
Apr 01, 2019;7356915599
Mar 31, 2019;7092743675
Mar 30, 2019;7295070926
Mar 29, 2019;7210818462
Mar 28, 2019;6814182386
Mar 27, 2019;6794817173
Mar 26, 2019;6233820984
Mar 25, 2019;5975098428
Mar 24, 2019;6247994228
Mar 23, 2019;6460790958
Mar 22, 2019;5709189508
Mar 21, 2019;5178368294
Mar 20, 2019;5294524631
Mar 19, 2019;5170638845
Mar 18, 2019;4987694972
